Cluster	Protein	S320_1G_1_sorted	S320_1G_3_sorted	S320_1G_4_sorted	S320_1G_5_sorted	S320T_4G_2_sorted	S320T_4G_3_sorted	S320T_4G_5_sorted	SC_1G_2_sorted	SC_1G_3_sorted	SC_1G_5_sorted	SC_4G_1_sorted	SC_4G_2_sorted	SC_4G_3_sorted
Cluster-34904.27	XP_018027510.1	14	8	8	0	1	0	0	0	185	0	13	1	114
Cluster-34904.28	XP_018027510.1	6	3	8	0	1	0	0	0	162	0	1	0	106
Cluster-34904.29	XP_018027510.1	9	2	23	0	0	0	0	0	64	0	3	0	30
Cluster-34904.30	XP_018027510.1	3	12	9	0	0	0	0	0	152	0	21	2	34
Cluster-34904.31	XP_018027510.1	10	19	37	0	0	0	1	0	97	0	35	1	63
Cluster-34904.32	XP_018027510.1	16	27	45	0	0	0	0	0	142	0	35	6	98
Cluster-34904.33	XP_018027510.1	4	2	4	2	2	0	1	0	87	0	1	1	55
Cluster-34904.34	XP_018027510.1	20	83	133	0	5	0	0	0	248	0	193	50	255
Cluster-34904.36	XP_042855610.1	31	59	304	0	0	0	0	0	44	1	2	2	47
Cluster-34906.1	KAF2362011.1	204	342	176	433	534	451	132	1138	463	441	943	449	393
Cluster-34906.2	KAF2362011.1	147	282	207	401	262	149	195	588	505	513	311	408	350
Cluster-34906.3	KAF2362011.1	231	307	156	374	377	273	166	663	307	324	581	272	332
Cluster-34906.4	KAF2362011.1	167	246	139	244	228	113	141	465	380	330	278	291	236
Cluster-34906.5	KAF2362011.1	917	1107	393	453	788	267	581	1225	605	604	520	290	779
Cluster-34909.0	KAF2347725.1	98	107	71	156	58	108	55	66	213	185	182	169	129
Cluster-34909.1	KAF2347725.1	209	166	205	224	138	116	119	175	231	177	169	306	201
Cluster-34915.0	XP_047737636.1	47	75	38	72	36	46	64	85	179	148	76	68	67
Cluster-34915.1	XP_047737636.1	75	103	70	108	74	147	110	98	195	128	112	113	128
Cluster-39618.5	KAF2348883.1	570	547	388	422	285	380	219	899	511	682	375	440	547
Cluster-39618.6	KAF2348883.1	302	481	437	519	275	269	166	562	336	753	370	335	343
Cluster-39618.7	KAF2348883.1	358	439	465	682	942	742	319	916	489	562	1369	961	690
Cluster-39618.8	KAF2348883.1	529	438	505	422	466	529	260	807	596	426	634	511	418
Cluster-35077.2	XP_050695672.1	48	43	56	26	28	14	21	62	85	47	78	49	116
Cluster-35083.1	XP_018026781.1	1107	1257	793	1379	985	777	789	963	1015	930	1060	1389	1031
Cluster-35083.2	XP_018026781.1	770	757	362	488	1204	1252	1175	921	1254	1006	1190	1103	878
Cluster-35092.0	KAF2366459.1	0	0	0	0	0	3	0	4	1	0	1	0	3
Cluster-35092.1	XP_042234459.1	11	18	24	7	15	8	22	14	37	21	25	24	20
Cluster-35093.0	XP_042862599.1	8	6	5	11	2	1	3	3	5	5	5	2	25
Cluster-35098.0	XP_055388911.1	14	39	5	56	5	1	7	4	0	3	2	4	4
Cluster-35099.0	XP_013791549.1	4	15	0	26	4	1	2	2	1	2	4	4	1
Cluster-35104.0	KZS01981.1	1	0	2	0	0	0	1	0	4	0	1	1	0
Cluster-35115.0	XP_053990872.1	19	51	0	86	13	5	13	0	3	3	11	4	8
Cluster-35120.0	GFS71751.1	61	23	0	19	12	34	0	8	18	0	3	0	3
Cluster-35121.0	XP_057377877.1	8	12	0	4	6	0	0	2	5	5	0	4	5
Cluster-35138.0	KAG7169675.1	7	4	6	7	10	9	9	9	7	6	10	6	13
Cluster-35144.5	XP_018007123.1	37	25	12	27	41	22	49	31	54	35	29	38	56
Cluster-35144.6	XP_018007123.1	488	537	500	488	399	212	388	684	690	494	621	668	609
Cluster-35144.6	KAF2349572.1	488	537	500	488	399	212	388	684	690	494	621	668	609
Cluster-35144.9	KAF2349572.1	102	113	69	68	101	30	100	250	169	120	176	204	181
Cluster-35147.4	KAG7169376.1	1	1	2	0	2	0	2	0	2	1	1	6	0
Cluster-35147.4	KAG7169375.1	1	1	2	0	2	0	2	0	2	1	1	6	0
Cluster-35147.5	XP_018016788.1	0	7	10	6	0	0	8	6	2	1	2	4	6
Cluster-35151.4	KAF2368300.1	311	303	154	357	307	870	228	237	473	416	413	860	516
Cluster-35152.0	XP_018026461.1	335	274	40	285	200	151	127	225	160	209	166	115	180
Cluster-35158.2	KAF2347705.1	126	172	178	213	184	191	267	210	210	170	194	187	205
Cluster-35172.0	KAF2357823.1	109	68	47	75	61	16	35	121	72	56	64	101	58
Cluster-35172.1	KAF2357823.1	1019	981	471	1030	945	614	544	1153	751	690	806	827	574
Cluster-35173.3	KAF2362128.1	282	218	79	172	247	78	144	250	304	255	160	147	151
Cluster-35173.3	KAG0693565.1	282	218	79	172	247	78	144	250	304	255	160	147	151
Cluster-35173.5	KAF2353307.1	144	154	58	88	193	160	104	106	178	82	115	122	151
Cluster-35173.5	KAF2343554.1	144	154	58	88	193	160	104	106	178	82	115	122	151
Cluster-35173.6	KAF2362128.1	212	175	84	73	196	51	85	132	176	106	151	124	150
Cluster-35173.6	KAG0693565.1	212	175	84	73	196	51	85	132	176	106	151	124	150
Cluster-35173.8	KAG0724256.1	14	9	2	1	1	1	2	4	7	3	5	2	2
Cluster-37017.3	KAG7173866.1	1100	1684	732	1882	680	1388	1075	1372	1526	1838	3076	502	1592
Cluster-37017.4	XP_042212944.1	1503	1910	663	2310	943	1458	1491	1249	1829	2043	3685	710	1799
Cluster-37017.5	XP_027223315.1	609	1491	1289	1294	326	1449	379	1620	1190	1836	2104	294	1211
Cluster-37017.6	XP_042212944.1	3133	2241	647	2024	842	1096	1424	1518	3404	4276	5308	2013	3804
Cluster-37017.7	XP_027223315.1	500	450	200	558	229	286	386	363	853	1188	1086	256	564
Cluster-37017.8	XP_027223315.1	451	1096	653	961	248	965	328	1041	865	1151	1662	270	964
Cluster-34399.7	XP_047736163.1	36	32	14	20	29	60	60	16	31	34	37	20	69
Cluster-34399.8	GFW17169.1	2	0	0	0	4	0	0	0	2	5	1	1	7
Cluster-34399.9	XP_047737420.1	17	23	4	3	11	13	11	20	20	16	12	4	32
Cluster-62686.0	XP_018028058.1	124	274	173	191	294	357	281	176	237	218	152	230	245
Cluster-30546.10	KAF2347107.1	322	1669	458	1543	2038	523	3782	473	380	331	666	902	2169
Cluster-30546.11	KAF2358941.1	281	1554	465	1264	1865	535	3772	511	305	277	581	635	1800
Cluster-30549.0	XP_018011329.1	753	872	722	911	880	1021	824	745	928	777	758	935	832
Cluster-51959.0	KAF2368524.1	138	183	114	175	152	119	170	335	203	134	155	107	125
Cluster-643.2	XP_022249736.1	3	3	40	6	2	0	0	3	310	0	9	1	51
Cluster-643.3	XP_022249736.1	7	5	75	3	3	0	0	6	381	1	13	4	76
Cluster-643.4	XP_018018651.1	123	138	121	208	208	231	202	128	127	162	180	162	164
Cluster-643.5	XP_018018651.1	470	801	366	870	740	1072	720	747	655	595	909	982	831
Cluster-643.6	XP_018018651.1	477	633	381	755	727	862	670	575	1327	609	765	807	823
Cluster-643.6	XP_022249736.1	477	633	381	755	727	862	670	575	1327	609	765	807	823
Cluster-643.8	XP_022249736.1	3	0	10	0	0	0	0	0	303	1	4	1	17
Cluster-743.3	XP_018023273.1	172	1217	372	1293	791	124	1534	581	1487	1551	551	1344	736
Cluster-743.4	XP_018023273.1	87	290	78	326	215	186	294	161	416	284	226	263	396
Cluster-743.5	XP_018023273.1	81	318	74	369	225	298	368	167	367	356	301	285	209
Cluster-743.7	XP_018023273.1	124	500	165	514	357	195	502	245	801	642	325	560	670
Cluster-743.13	XP_018023273.1	153	787	246	789	477	140	897	406	1142	1102	445	856	596
Cluster-833.0	XP_018017001.1	0	0	0	0	0	0	0	0	0	0	1	4	6
Cluster-866.5	XP_018027683.1	39	75	80	89	59	40	68	116	300	344	125	51	53
Cluster-866.9	XP_018027683.1	36	46	80	44	32	23	44	43	278	312	65	41	26
Cluster-898.10	XP_018022843.2	208	263	64	371	344	322	434	130	443	413	462	208	251
Cluster-909.0	GBM50269.1	0	0	0	0	0	0	0	0	0	0	3	0	7
Cluster-922.0	KAF2356848.1	1	0	0	3	0	0	0	0	29	0	77	74	218
Cluster-927.0	KAF2366776.1	37	38	56	41	41	40	39	72	57	35	88	68	76
Cluster-936.0	GBN85274.1	0	0	0	0	0	0	0	0	0	0	5	3	2
Cluster-944.1	XP_018017537.1	16	17	35	21	17	16	17	22	21	17	18	26	40
Cluster-944.2	XP_018017537.1	6	11	12	19	5	9	13	35	29	14	51	23	66
Cluster-964.0	CAH0102812.1	0	0	0	0	0	0	0	0	0	0	3	6	1
Cluster-968.0	KAG0715629.1	0	2	5	0	0	0	0	2	0	0	2	15	2
Cluster-990.9	XP_026684800.1	6	4	1	5	5	3	7	6	4	4	9	2	12
Cluster-1004.0	XP_018025358.1	0	0	1	0	0	0	0	0	0	0	1	70	0
Cluster-1004.1	XP_018025358.1	0	0	3	0	0	0	0	0	0	0	2	27	0
Cluster-1013.1	XP_018018385.1	0	6	5	11	3	0	0	7	31	1	44	270	48
Cluster-1030.8	KAF2356647.1	0	4	15	1	0	0	0	1	65	1	123	126	121
Cluster-1046.2	KAF2366999.1	34	95	181	7	34	13	57	67	277	299	73	41	95
Cluster-1046.3	KAF2366999.1	22	97	110	6	50	4	105	30	297	379	44	95	54
Cluster-1046.6	KAF2366999.1	32	91	178	8	38	10	39	41	211	266	38	36	34
Cluster-1046.9	KAF2366999.1	16	45	80	35	34	6	40	31	120	162	31	21	48
Cluster-1046.10	KAF2366999.1	18	111	109	16	67	8	77	37	282	316	33	64	48
Cluster-1046.11	KAF2366999.1	40	58	225	2	8	9	26	73	244	224	51	10	37
Cluster-1072.6	XP_027236670.1	30	78	89	20	19	9	9	41	115	115	59	60	79
Cluster-1078.2	XP_018019788.1	12	32	37	33	14	22	7	114	73	27	119	13	62
Cluster-1096.4	KAF2367725.1	300	289	1644	7	20	7	37	10	364	12	30	59	137
Cluster-1096.5	KAF2367725.1	220	355	2308	7	13	6	28	11	348	8	34	78	102
Cluster-1110.1	XP_045120836.1	0	0	0	0	0	0	0	2	6	0	3	5	2
Cluster-1110.2	XP_045120836.1	0	0	0	2	0	0	0	2	2	0	1	51	22
Cluster-1136.4	KAF2358151.1	1620	2408	1234	2555	2782	2799	2229	1888	2696	1469	2364	3006	2531
Cluster-1136.4	XP_047738630.1	1620	2408	1234	2555	2782	2799	2229	1888	2696	1469	2364	3006	2531
Cluster-1136.5	KAF2358151.1	1617	2573	1310	2762	2852	2872	2334	1955	2800	1648	2371	3094	2610
Cluster-1136.5	XP_047738630.1	1617	2573	1310	2762	2852	2872	2334	1955	2800	1648	2371	3094	2610
Cluster-1213.2	KAF2365529.1	89	59	79	151	72	64	28	240	83	27	284	89	211
Cluster-1213.3	XP_018022429.1	528	455	250	1722	351	368	441	1047	250	187	1573	710	1049
Cluster-1213.4	XP_018022429.1	966	794	210	2821	606	518	694	990	331	323	2212	1166	1058
Cluster-1226.8	KAF2355327.1	47	40	182	52	17	12	21	60	46	48	47	77	28
Cluster-1226.25	KAF2353759.1	71	93	41	191	113	318	184	65	222	264	135	53	122
Cluster-1260.4	KAF2355822.1	0	0	0	0	1	0	0	0	43	0	11	3	32
Cluster-1279.8	XP_047740526.1	220	242	505	252	417	204	535	507	567	607	247	160	299
Cluster-1319.2	KAF2356477.1	390	209	195	133	888	415	259	424	629	617	415	270	1458
Cluster-1319.3	KAF2356477.1	86	52	64	38	204	68	58	195	250	194	113	65	599
Cluster-1319.4	KAF2356477.1	230	338	431	195	367	285	270	332	585	589	542	438	758
Cluster-1319.5	KAF2356477.1	178	251	216	346	505	333	298	332	609	610	346	356	955
Cluster-1319.8	KAF2356477.1	108	83	84	120	231	63	139	177	268	215	164	136	524
Cluster-1319.9	KAF2356477.1	13	6	11	11	29	4	17	26	30	33	16	6	119
Cluster-1334.1	XP_047473842.1	55	55	256	41	45	8	48	23	161	156	82	40	50
Cluster-1334.3	XP_047473842.1	147	38	958	13	77	10	216	51	200	246	92	56	28
Cluster-1334.5	XP_037777918.1	75	61	319	8	86	15	33	23	131	83	78	40	34
Cluster-1334.6	XP_037777918.1	74	49	472	18	59	10	114	40	179	160	90	52	47
Cluster-1334.7	XP_047473842.1	84	52	305	34	63	18	50	34	131	170	78	39	39
Cluster-1363.4	XP_018013115.1	36	52	44	51	29	21	9	41	37	55	95	58	66
Cluster-1368.0	KAE8747106.1	0	0	0	0	0	0	0	0	0	0	7	1	2
Cluster-1392.0	KAJ8703666.1	0	0	0	0	0	0	0	0	0	0	3	9	0
Cluster-1409.0	CAG9814425.1	0	0	0	0	0	0	0	0	0	0	3	3	9
Cluster-1410.0	QBH73384.1	0	0	0	0	0	0	0	0	0	0	8	2	0
Cluster-1418.0	KAH8009628.1	0	0	0	0	0	0	0	0	0	0	1	0	10
Cluster-1425.2	XP_018014010.1	9	27	38	33	36	10	41	22	17	23	29	36	22
Cluster-1425.5	XP_018014010.1	22	7	35	13	13	13	15	15	64	54	10	17	24
Cluster-1425.8	XP_018014010.1	35	19	40	12	11	19	28	46	113	82	11	10	17
Cluster-1463.27	KAA0193021.1	202	295	155	241	326	274	359	197	316	252	141	139	249
Cluster-1463.27	KYN40673.1	202	295	155	241	326	274	359	197	316	252	141	139	249
Cluster-1463.28	KAF2355144.1	152	245	1193	168	188	247	243	127	183	173	120	85	159
Cluster-1463.28	KYN40673.1	152	245	1193	168	188	247	243	127	183	173	120	85	159
Cluster-1463.28	EZA57341.1	152	245	1193	168	188	247	243	127	183	173	120	85	159
Cluster-1463.29	XP_018022962.1	314	366	3239	414	218	130	147	156	283	390	178	60	103
Cluster-1463.29	EZA57341.1	314	366	3239	414	218	130	147	156	283	390	178	60	103
Cluster-1463.30	XP_050330038.1	8	46	414	54	12	12	14	8	17	18	16	9	15
Cluster-1463.31	UFE16556.1	4	10	71	0	0	0	0	2	25	18	2	3	6
Cluster-1463.32	KAA0193021.1	118	213	173	150	200	307	248	215	237	127	137	117	377
Cluster-1463.32	KYN40673.1	118	213	173	150	200	307	248	215	237	127	137	117	377
Cluster-1468.15	XP_018006663.1	59	86	27	63	72	41	32	39	119	65	62	53	84
Cluster-1468.20	XP_018006663.1	45	78	23	88	39	130	51	64	70	74	123	150	153
Cluster-1480.4	KAB7498924.1	55	54	88	24	153	25	32	26	187	117	26	14	30
Cluster-1480.5	KAB7498924.1	29	25	93	0	6	1	13	14	149	18	52	114	47
Cluster-1480.6	KAB7498924.1	53	48	124	5	15	1	20	20	64	30	14	18	22
Cluster-1480.7	KAB7498924.1	41	38	56	2	12	7	6	15	84	90	28	14	25
Cluster-1480.8	KAB7498924.1	73	75	128	4	27	7	22	23	99	65	33	19	33
Cluster-1480.9	KAB7498924.1	26	19	32	6	39	7	13	17	129	49	61	65	45
Cluster-1480.10	KAB7498924.1	60	28	44	14	89	11	17	18	99	114	27	8	39
Cluster-1480.11	KAB7498924.1	12	18	29	2	8	2	2	8	135	36	59	86	48
Cluster-1480.13	KAB7498924.1	30	41	31	5	13	9	3	9	88	70	29	5	28
Cluster-1480.18	KAF2351791.1	11	28	47	12	12	8	7	39	40	9	21	3	25
Cluster-1480.23	XP_018015498.1	75	139	54	92	166	165	156	151	125	133	134	150	130
Cluster-1480.23	XP_018025210.1	75	139	54	92	166	165	156	151	125	133	134	150	130
Cluster-1538.3	XP_042207263.1	119	112	67	129	135	54	169	189	219	173	64	226	156
Cluster-1538.4	XP_018010684.1	11	30	21	12	23	28	17	31	32	10	25	32	50
Cluster-1552.2	XP_018012710.1	0	1	1	0	1	0	0	0	36	0	8	2	15
Cluster-1576.2	KAF2362004.1	32	102	31	177	65	43	74	50	106	123	123	78	90
Cluster-1625.0	XP_018016471.1	143	199	46	292	100	155	38	240	140	101	281	256	218
Cluster-1625.1	XP_018016471.1	333	417	106	666	235	198	90	567	389	410	314	189	204
Cluster-1625.1	KAH9400196.1	333	417	106	666	235	198	90	567	389	410	314	189	204
Cluster-1625.2	XP_018016471.1	885	1058	176	1720	422	297	220	1235	678	411	894	929	630
Cluster-1625.3	XP_018016471.1	158	303	136	487	225	303	63	319	232	109	533	282	260
Cluster-1625.6	XP_018016471.1	154	314	213	251	231	389	288	220	117	64	286	193	422
Cluster-1625.8	XP_018016471.1	230	314	410	347	428	942	149	371	190	195	744	335	728
Cluster-1651.2	XP_027225531.1	0	0	0	1	0	1	0	0	1	2	1	0	2
Cluster-1667.11	XP_018010563.1	14	22	24	10	37	2	3	45	172	23	60	8	40
Cluster-1667.23	XP_018010563.1	102	24	30	18	30	11	5	231	472	101	59	7	62
Cluster-1687.1	XP_018028098.1	246	253	423	348	402	421	472	347	427	431	379	267	494
Cluster-1687.2	XP_018028098.1	336	299	638	360	634	651	718	566	543	539	594	285	573
Cluster-1751.0	XP_055307376.1	0	0	0	0	0	0	0	0	1	0	5	4	2
Cluster-1775.0	CAI6359360.1	0	0	0	0	0	0	0	0	5	5	0	1	0
Cluster-1798.1	XP_018020236.1	1	0	0	0	3	2	8	4	5	0	73	2	7
Cluster-1810.0	XP_042873473.1	0	0	0	0	0	0	0	0	2	1	2	8	0
Cluster-1909.0	KAF2366409.1	0	0	0	0	0	0	0	0	0	0	0	6	0
Cluster-1940.0	PSN42842.1	0	0	0	0	0	0	0	0	1	1	5	4	6
Cluster-2008.0	KAJ8932390.1	0	0	2	0	0	0	0	1	1	7	0	1	6
Cluster-2037.2	RXG69553.1	9	24	8	35	1	9	10	15	28	28	32	3	10
Cluster-2037.3	RXG69553.1	1	15	0	19	5	18	20	6	29	37	9	5	34
Cluster-2037.5	RXG69553.1	7	7	6	23	11	16	13	6	55	54	55	11	19
Cluster-2037.6	RXG69553.1	15	33	3	16	10	27	15	12	116	119	15	26	115
Cluster-2106.4	XP_018013942.1	7	7	11	2	46	49	6	17	90	82	5	11	153
